
--- 訓練啟動 S14 | Tue Apr  7 23:01:15 2026 ---
Epoch 01 | Train MSE: 6.8738 | Val Acc: 0.5283 | LR: 0.000500
Epoch 02 | Train MSE: 5.0831 | Val Acc: 0.5004 | LR: 0.000500
Epoch 03 | Train MSE: 5.0061 | Val Acc: 0.5250 | LR: 0.000500
Epoch 04 | Train MSE: 4.8504 | Val Acc: 0.5125 | LR: 0.000500
Epoch 05 | Train MSE: 4.7820 | Val Acc: 0.5004 | LR: 0.000500
Epoch 06 | Train MSE: 4.6780 | Val Acc: 0.5000 | LR: 0.000500
Epoch 07 | Train MSE: 4.6573 | Val Acc: 0.5017 | LR: 0.000500
Epoch 08 | Train MSE: 4.5431 | Val Acc: 0.5025 | LR: 0.000250
Epoch 09 | Train MSE: 4.5087 | Val Acc: 0.5004 | LR: 0.000250
Epoch 10 | Train MSE: 4.4743 | Val Acc: 0.5029 | LR: 0.000250
Epoch 11 | Train MSE: 4.4373 | Val Acc: 0.5012 | LR: 0.000250
Epoch 12 | Train MSE: 4.4115 | Val Acc: 0.4996 | LR: 0.000250
Epoch 13 | Train MSE: 4.3852 | Val Acc: 0.5000 | LR: 0.000250
Epoch 14 | Train MSE: 4.3459 | Val Acc: 0.5029 | LR: 0.000125
Epoch 15 | Train MSE: 4.2904 | Val Acc: 0.5021 | LR: 0.000125
Epoch 16 | Train MSE: 4.2760 | Val Acc: 0.5067 | LR: 0.000125
Epoch 17 | Train MSE: 4.2670 | Val Acc: 0.5012 | LR: 0.000125
Epoch 18 | Train MSE: 4.2655 | Val Acc: 0.5012 | LR: 0.000125
Epoch 19 | Train MSE: 4.2429 | Val Acc: 0.5021 | LR: 0.000125
Epoch 20 | Train MSE: 4.1900 | Val Acc: 0.5017 | LR: 0.000063
Epoch 21 | Train MSE: 4.2275 | Val Acc: 0.5029 | LR: 0.000063
Epoch 22 | Train MSE: 4.1993 | Val Acc: 0.5029 | LR: 0.000063
Epoch 23 | Train MSE: 4.1821 | Val Acc: 0.5033 | LR: 0.000063
Epoch 24 | Train MSE: 4.1778 | Val Acc: 0.5017 | LR: 0.000063
Epoch 25 | Train MSE: 4.1673 | Val Acc: 0.5017 | LR: 0.000063
Epoch 26 | Train MSE: 4.1746 | Val Acc: 0.5017 | LR: 0.000031
Epoch 27 | Train MSE: 4.1687 | Val Acc: 0.5042 | LR: 0.000031
Epoch 28 | Train MSE: 4.1729 | Val Acc: 0.5038 | LR: 0.000031
Epoch 29 | Train MSE: 4.1350 | Val Acc: 0.5017 | LR: 0.000031
Epoch 30 | Train MSE: 4.1322 | Val Acc: 0.5038 | LR: 0.000031
Epoch 31 | Train MSE: 4.1405 | Val Acc: 0.5017 | LR: 0.000031
Epoch 32 | Train MSE: 4.1456 | Val Acc: 0.5017 | LR: 0.000016
Epoch 33 | Train MSE: 4.1437 | Val Acc: 0.5025 | LR: 0.000016
Epoch 34 | Train MSE: 4.1313 | Val Acc: 0.5042 | LR: 0.000016
Epoch 35 | Train MSE: 4.1360 | Val Acc: 0.5038 | LR: 0.000016
Epoch 36 | Train MSE: 4.1250 | Val Acc: 0.5038 | LR: 0.000016
Epoch 37 | Train MSE: 4.1067 | Val Acc: 0.5029 | LR: 0.000016
Epoch 38 | Train MSE: 4.1435 | Val Acc: 0.5029 | LR: 0.000008
Epoch 39 | Train MSE: 4.1331 | Val Acc: 0.5038 | LR: 0.000008
Epoch 40 | Train MSE: 4.1206 | Val Acc: 0.5042 | LR: 0.000008
Epoch 41 | Train MSE: 4.1436 | Val Acc: 0.5046 | LR: 0.000008
Epoch 42 | Train MSE: 4.1052 | Val Acc: 0.5042 | LR: 0.000008
Epoch 43 | Train MSE: 4.1105 | Val Acc: 0.5029 | LR: 0.000008
Epoch 44 | Train MSE: 4.1122 | Val Acc: 0.5025 | LR: 0.000004
Epoch 45 | Train MSE: 4.1090 | Val Acc: 0.5029 | LR: 0.000004
Epoch 46 | Train MSE: 4.1232 | Val Acc: 0.5038 | LR: 0.000004
Epoch 47 | Train MSE: 4.1013 | Val Acc: 0.5033 | LR: 0.000004
Epoch 48 | Train MSE: 4.0998 | Val Acc: 0.5033 | LR: 0.000004
Epoch 49 | Train MSE: 4.1194 | Val Acc: 0.5025 | LR: 0.000004
Epoch 50 | Train MSE: 4.1208 | Val Acc: 0.5029 | LR: 0.000002
