
--- 訓練啟動 S30 | Wed Apr  8 14:22:58 2026 ---
Epoch 01 | Train MSE: 6.8463 | Val Acc: 0.5967 | LR: 0.000500
Epoch 02 | Train MSE: 5.1238 | Val Acc: 0.6700 | LR: 0.000500
Epoch 03 | Train MSE: 5.0103 | Val Acc: 0.6750 | LR: 0.000500
Epoch 04 | Train MSE: 4.8958 | Val Acc: 0.6708 | LR: 0.000500
Epoch 05 | Train MSE: 4.8416 | Val Acc: 0.6167 | LR: 0.000500
Epoch 06 | Train MSE: 4.7497 | Val Acc: 0.4938 | LR: 0.000500
Epoch 07 | Train MSE: 4.6946 | Val Acc: 0.6700 | LR: 0.000500
Epoch 08 | Train MSE: 4.6519 | Val Acc: 0.6417 | LR: 0.000500
Epoch 09 | Train MSE: 4.5687 | Val Acc: 0.6721 | LR: 0.000500
Epoch 10 | Train MSE: 4.4810 | Val Acc: 0.6737 | LR: 0.000250
Epoch 11 | Train MSE: 4.4693 | Val Acc: 0.6729 | LR: 0.000250
Epoch 12 | Train MSE: 4.4344 | Val Acc: 0.6725 | LR: 0.000250
Epoch 13 | Train MSE: 4.4258 | Val Acc: 0.6150 | LR: 0.000250
Epoch 14 | Train MSE: 4.3700 | Val Acc: 0.6692 | LR: 0.000250
Epoch 15 | Train MSE: 4.3187 | Val Acc: 0.6283 | LR: 0.000250
Epoch 16 | Train MSE: 4.3022 | Val Acc: 0.6725 | LR: 0.000125
Epoch 17 | Train MSE: 4.2875 | Val Acc: 0.6733 | LR: 0.000125
Epoch 18 | Train MSE: 4.2684 | Val Acc: 0.6371 | LR: 0.000125
Epoch 19 | Train MSE: 4.2471 | Val Acc: 0.6683 | LR: 0.000125
Epoch 20 | Train MSE: 4.2345 | Val Acc: 0.6700 | LR: 0.000125
Epoch 21 | Train MSE: 4.2092 | Val Acc: 0.6742 | LR: 0.000125
Epoch 22 | Train MSE: 4.1921 | Val Acc: 0.6733 | LR: 0.000063
Epoch 23 | Train MSE: 4.1898 | Val Acc: 0.6737 | LR: 0.000063
Epoch 24 | Train MSE: 4.1868 | Val Acc: 0.6733 | LR: 0.000063
Epoch 25 | Train MSE: 4.1795 | Val Acc: 0.6733 | LR: 0.000063
Epoch 26 | Train MSE: 4.1730 | Val Acc: 0.6713 | LR: 0.000063
Epoch 27 | Train MSE: 4.1543 | Val Acc: 0.6733 | LR: 0.000063
Epoch 28 | Train MSE: 4.1563 | Val Acc: 0.6733 | LR: 0.000031
Epoch 29 | Train MSE: 4.1433 | Val Acc: 0.6733 | LR: 0.000031
Epoch 30 | Train MSE: 4.1443 | Val Acc: 0.6725 | LR: 0.000031
Epoch 31 | Train MSE: 4.1205 | Val Acc: 0.6725 | LR: 0.000031
Epoch 32 | Train MSE: 4.1308 | Val Acc: 0.6725 | LR: 0.000031
Epoch 33 | Train MSE: 4.1236 | Val Acc: 0.6733 | LR: 0.000031
Epoch 34 | Train MSE: 4.1136 | Val Acc: 0.6733 | LR: 0.000016
Epoch 35 | Train MSE: 4.0985 | Val Acc: 0.6733 | LR: 0.000016
Epoch 36 | Train MSE: 4.1217 | Val Acc: 0.6733 | LR: 0.000016
Epoch 37 | Train MSE: 4.1278 | Val Acc: 0.6725 | LR: 0.000016
Epoch 38 | Train MSE: 4.1111 | Val Acc: 0.6733 | LR: 0.000016
Epoch 39 | Train MSE: 4.0932 | Val Acc: 0.6733 | LR: 0.000016
Epoch 40 | Train MSE: 4.1032 | Val Acc: 0.6733 | LR: 0.000008
Epoch 41 | Train MSE: 4.0931 | Val Acc: 0.6733 | LR: 0.000008
Epoch 42 | Train MSE: 4.0866 | Val Acc: 0.6733 | LR: 0.000008
Epoch 43 | Train MSE: 4.0940 | Val Acc: 0.6729 | LR: 0.000008
Epoch 44 | Train MSE: 4.0825 | Val Acc: 0.6729 | LR: 0.000008
Epoch 45 | Train MSE: 4.0940 | Val Acc: 0.6733 | LR: 0.000008
Epoch 46 | Train MSE: 4.1114 | Val Acc: 0.6729 | LR: 0.000004
Epoch 47 | Train MSE: 4.1041 | Val Acc: 0.6725 | LR: 0.000004
Epoch 48 | Train MSE: 4.1023 | Val Acc: 0.6733 | LR: 0.000004
Epoch 49 | Train MSE: 4.0971 | Val Acc: 0.6733 | LR: 0.000004
Epoch 50 | Train MSE: 4.1042 | Val Acc: 0.6729 | LR: 0.000004
