
--- 訓練啟動 S32 | Tue Apr  7 22:00:52 2026 ---
Epoch 01 | Train MSE: 6.9864 | Val Acc: 0.5000 | LR: 0.000500
Epoch 02 | Train MSE: 5.1287 | Val Acc: 0.5000 | LR: 0.000500
Epoch 03 | Train MSE: 5.0397 | Val Acc: 0.5000 | LR: 0.000500
Epoch 04 | Train MSE: 4.9388 | Val Acc: 0.5000 | LR: 0.000500
Epoch 05 | Train MSE: 4.8475 | Val Acc: 0.5000 | LR: 0.000500
Epoch 06 | Train MSE: 4.7662 | Val Acc: 0.4996 | LR: 0.000500
Epoch 07 | Train MSE: 4.6887 | Val Acc: 0.4967 | LR: 0.000500
Epoch 08 | Train MSE: 4.5675 | Val Acc: 0.4913 | LR: 0.000250
Epoch 09 | Train MSE: 4.5582 | Val Acc: 0.5000 | LR: 0.000250
Epoch 10 | Train MSE: 4.5149 | Val Acc: 0.4992 | LR: 0.000250
Epoch 11 | Train MSE: 4.4788 | Val Acc: 0.4983 | LR: 0.000250
Epoch 12 | Train MSE: 4.4364 | Val Acc: 0.4983 | LR: 0.000250
Epoch 13 | Train MSE: 4.4097 | Val Acc: 0.4871 | LR: 0.000250
Epoch 14 | Train MSE: 4.3894 | Val Acc: 0.4821 | LR: 0.000125
Epoch 15 | Train MSE: 4.3154 | Val Acc: 0.4871 | LR: 0.000125
Epoch 16 | Train MSE: 4.3093 | Val Acc: 0.4842 | LR: 0.000125
Epoch 17 | Train MSE: 4.3117 | Val Acc: 0.4854 | LR: 0.000125
Epoch 18 | Train MSE: 4.2781 | Val Acc: 0.4879 | LR: 0.000125
Epoch 19 | Train MSE: 4.2579 | Val Acc: 0.4779 | LR: 0.000125
Epoch 20 | Train MSE: 4.2451 | Val Acc: 0.4854 | LR: 0.000063
Epoch 21 | Train MSE: 4.2242 | Val Acc: 0.4829 | LR: 0.000063
Epoch 22 | Train MSE: 4.2223 | Val Acc: 0.4821 | LR: 0.000063
Epoch 23 | Train MSE: 4.1972 | Val Acc: 0.4758 | LR: 0.000063
Epoch 24 | Train MSE: 4.1767 | Val Acc: 0.4771 | LR: 0.000063
Epoch 25 | Train MSE: 4.1797 | Val Acc: 0.4796 | LR: 0.000063
Epoch 26 | Train MSE: 4.1660 | Val Acc: 0.4746 | LR: 0.000031
Epoch 27 | Train MSE: 4.1440 | Val Acc: 0.4758 | LR: 0.000031
Epoch 28 | Train MSE: 4.1518 | Val Acc: 0.4729 | LR: 0.000031
Epoch 29 | Train MSE: 4.1717 | Val Acc: 0.4800 | LR: 0.000031
Epoch 30 | Train MSE: 4.1600 | Val Acc: 0.4750 | LR: 0.000031
Epoch 31 | Train MSE: 4.1446 | Val Acc: 0.4788 | LR: 0.000031
Epoch 32 | Train MSE: 4.1517 | Val Acc: 0.4729 | LR: 0.000016
Epoch 33 | Train MSE: 4.1467 | Val Acc: 0.4792 | LR: 0.000016
Epoch 34 | Train MSE: 4.1480 | Val Acc: 0.4783 | LR: 0.000016
Epoch 35 | Train MSE: 4.1295 | Val Acc: 0.4788 | LR: 0.000016
Epoch 36 | Train MSE: 4.1303 | Val Acc: 0.4725 | LR: 0.000016
Epoch 37 | Train MSE: 4.1267 | Val Acc: 0.4808 | LR: 0.000016
Epoch 38 | Train MSE: 4.1292 | Val Acc: 0.4796 | LR: 0.000008
Epoch 39 | Train MSE: 4.1144 | Val Acc: 0.4792 | LR: 0.000008
Epoch 40 | Train MSE: 4.1318 | Val Acc: 0.4758 | LR: 0.000008
Epoch 41 | Train MSE: 4.1379 | Val Acc: 0.4746 | LR: 0.000008
Epoch 42 | Train MSE: 4.1145 | Val Acc: 0.4808 | LR: 0.000008
Epoch 43 | Train MSE: 4.1088 | Val Acc: 0.4788 | LR: 0.000008
Epoch 44 | Train MSE: 4.1216 | Val Acc: 0.4771 | LR: 0.000004
Epoch 45 | Train MSE: 4.0910 | Val Acc: 0.4817 | LR: 0.000004
Epoch 46 | Train MSE: 4.0961 | Val Acc: 0.4796 | LR: 0.000004
Epoch 47 | Train MSE: 4.1233 | Val Acc: 0.4788 | LR: 0.000004
Epoch 48 | Train MSE: 4.1235 | Val Acc: 0.4783 | LR: 0.000004
Epoch 49 | Train MSE: 4.1284 | Val Acc: 0.4763 | LR: 0.000004
Epoch 50 | Train MSE: 4.1080 | Val Acc: 0.4746 | LR: 0.000002

--- 訓練啟動 S32 | Wed Apr  8 00:00:51 2026 ---
