
--- 訓練啟動 S11 | Wed Apr  8 13:18:16 2026 ---
Epoch 01 | Train MSE: 6.8474 | Val Acc: 0.6000 | LR: 0.000500
Epoch 02 | Train MSE: 4.9671 | Val Acc: 0.6000 | LR: 0.000500
Epoch 03 | Train MSE: 4.8892 | Val Acc: 0.6000 | LR: 0.000500
Epoch 04 | Train MSE: 4.8020 | Val Acc: 0.5988 | LR: 0.000500
Epoch 05 | Train MSE: 4.7320 | Val Acc: 0.6000 | LR: 0.000500
Epoch 06 | Train MSE: 4.6597 | Val Acc: 0.6000 | LR: 0.000500
Epoch 07 | Train MSE: 4.6140 | Val Acc: 0.6000 | LR: 0.000500
Epoch 08 | Train MSE: 4.5221 | Val Acc: 0.6000 | LR: 0.000250
Epoch 09 | Train MSE: 4.4932 | Val Acc: 0.6000 | LR: 0.000250
Epoch 10 | Train MSE: 4.4561 | Val Acc: 0.6000 | LR: 0.000250
Epoch 11 | Train MSE: 4.4320 | Val Acc: 0.6000 | LR: 0.000250
Epoch 12 | Train MSE: 4.3947 | Val Acc: 0.6004 | LR: 0.000250
Epoch 13 | Train MSE: 4.3374 | Val Acc: 0.6000 | LR: 0.000250
Epoch 14 | Train MSE: 4.3421 | Val Acc: 0.6000 | LR: 0.000250
Epoch 15 | Train MSE: 4.2895 | Val Acc: 0.6000 | LR: 0.000250
Epoch 16 | Train MSE: 4.2587 | Val Acc: 0.6000 | LR: 0.000250
Epoch 17 | Train MSE: 4.2355 | Val Acc: 0.6004 | LR: 0.000250
Epoch 18 | Train MSE: 4.2064 | Val Acc: 0.6004 | LR: 0.000250
Epoch 19 | Train MSE: 4.1520 | Val Acc: 0.6012 | LR: 0.000125
Epoch 20 | Train MSE: 4.1410 | Val Acc: 0.6004 | LR: 0.000125
Epoch 21 | Train MSE: 4.1112 | Val Acc: 0.6021 | LR: 0.000125
Epoch 22 | Train MSE: 4.1189 | Val Acc: 0.6004 | LR: 0.000125
Epoch 23 | Train MSE: 4.0698 | Val Acc: 0.6008 | LR: 0.000125
Epoch 24 | Train MSE: 4.0860 | Val Acc: 0.6004 | LR: 0.000125
Epoch 25 | Train MSE: 4.0674 | Val Acc: 0.6004 | LR: 0.000125
Epoch 26 | Train MSE: 4.0617 | Val Acc: 0.6029 | LR: 0.000125
Epoch 27 | Train MSE: 4.0446 | Val Acc: 0.5992 | LR: 0.000125
Epoch 28 | Train MSE: 4.0113 | Val Acc: 0.6033 | LR: 0.000125
Epoch 29 | Train MSE: 4.0132 | Val Acc: 0.6029 | LR: 0.000125
Epoch 30 | Train MSE: 3.9954 | Val Acc: 0.6008 | LR: 0.000125
Epoch 31 | Train MSE: 3.9784 | Val Acc: 0.6008 | LR: 0.000125
Epoch 32 | Train MSE: 3.9700 | Val Acc: 0.6033 | LR: 0.000125
Epoch 33 | Train MSE: 3.9520 | Val Acc: 0.6029 | LR: 0.000125
Epoch 34 | Train MSE: 3.9456 | Val Acc: 0.6033 | LR: 0.000125
Epoch 35 | Train MSE: 3.9071 | Val Acc: 0.6029 | LR: 0.000063
Epoch 36 | Train MSE: 3.9106 | Val Acc: 0.6033 | LR: 0.000063
Epoch 37 | Train MSE: 3.9094 | Val Acc: 0.6025 | LR: 0.000063
Epoch 38 | Train MSE: 3.9009 | Val Acc: 0.6033 | LR: 0.000063
Epoch 39 | Train MSE: 3.9051 | Val Acc: 0.6021 | LR: 0.000063
Epoch 40 | Train MSE: 3.8943 | Val Acc: 0.6012 | LR: 0.000063
Epoch 41 | Train MSE: 3.8727 | Val Acc: 0.6029 | LR: 0.000031
Epoch 42 | Train MSE: 3.8605 | Val Acc: 0.6029 | LR: 0.000031
Epoch 43 | Train MSE: 3.8583 | Val Acc: 0.6033 | LR: 0.000031
Epoch 44 | Train MSE: 3.8456 | Val Acc: 0.6012 | LR: 0.000031
Epoch 45 | Train MSE: 3.8404 | Val Acc: 0.6029 | LR: 0.000031
Epoch 46 | Train MSE: 3.8402 | Val Acc: 0.6033 | LR: 0.000031
Epoch 47 | Train MSE: 3.8484 | Val Acc: 0.6017 | LR: 0.000016
Epoch 48 | Train MSE: 3.8472 | Val Acc: 0.6029 | LR: 0.000016
Epoch 49 | Train MSE: 3.8385 | Val Acc: 0.6029 | LR: 0.000016
Epoch 50 | Train MSE: 3.8214 | Val Acc: 0.6029 | LR: 0.000016
