
--- 訓練啟動 S29 | Wed Apr  8 14:19:32 2026 ---
Epoch 01 | Train MSE: 6.8926 | Val Acc: 0.5121 | LR: 0.000500
Epoch 02 | Train MSE: 5.1205 | Val Acc: 0.5658 | LR: 0.000500
Epoch 03 | Train MSE: 4.9726 | Val Acc: 0.5279 | LR: 0.000500
Epoch 04 | Train MSE: 4.8735 | Val Acc: 0.5079 | LR: 0.000500
Epoch 05 | Train MSE: 4.7757 | Val Acc: 0.5758 | LR: 0.000500
Epoch 06 | Train MSE: 4.7275 | Val Acc: 0.4583 | LR: 0.000500
Epoch 07 | Train MSE: 4.6358 | Val Acc: 0.4813 | LR: 0.000500
Epoch 08 | Train MSE: 4.5876 | Val Acc: 0.5283 | LR: 0.000500
Epoch 09 | Train MSE: 4.5097 | Val Acc: 0.5533 | LR: 0.000500
Epoch 10 | Train MSE: 4.4464 | Val Acc: 0.4379 | LR: 0.000500
Epoch 11 | Train MSE: 4.3850 | Val Acc: 0.4917 | LR: 0.000500
Epoch 12 | Train MSE: 4.3070 | Val Acc: 0.4796 | LR: 0.000250
Epoch 13 | Train MSE: 4.2730 | Val Acc: 0.4308 | LR: 0.000250
Epoch 14 | Train MSE: 4.2487 | Val Acc: 0.4596 | LR: 0.000250
Epoch 15 | Train MSE: 4.1890 | Val Acc: 0.4696 | LR: 0.000250
Epoch 16 | Train MSE: 4.1601 | Val Acc: 0.4896 | LR: 0.000250
Epoch 17 | Train MSE: 4.1362 | Val Acc: 0.4500 | LR: 0.000250
Epoch 18 | Train MSE: 4.0740 | Val Acc: 0.4412 | LR: 0.000125
Epoch 19 | Train MSE: 4.0688 | Val Acc: 0.4396 | LR: 0.000125
Epoch 20 | Train MSE: 4.0398 | Val Acc: 0.4371 | LR: 0.000125
Epoch 21 | Train MSE: 4.0325 | Val Acc: 0.4308 | LR: 0.000125
Epoch 22 | Train MSE: 4.0291 | Val Acc: 0.4304 | LR: 0.000125
Epoch 23 | Train MSE: 3.9940 | Val Acc: 0.4746 | LR: 0.000125
Epoch 24 | Train MSE: 3.9724 | Val Acc: 0.4408 | LR: 0.000063
Epoch 25 | Train MSE: 3.9661 | Val Acc: 0.4421 | LR: 0.000063
Epoch 26 | Train MSE: 3.9705 | Val Acc: 0.4300 | LR: 0.000063
Epoch 27 | Train MSE: 3.9556 | Val Acc: 0.4367 | LR: 0.000063
Epoch 28 | Train MSE: 3.9379 | Val Acc: 0.4525 | LR: 0.000063
Epoch 29 | Train MSE: 3.9267 | Val Acc: 0.4429 | LR: 0.000063
Epoch 30 | Train MSE: 3.9172 | Val Acc: 0.4508 | LR: 0.000031
Epoch 31 | Train MSE: 3.9106 | Val Acc: 0.4621 | LR: 0.000031
Epoch 32 | Train MSE: 3.9028 | Val Acc: 0.4479 | LR: 0.000031
Epoch 33 | Train MSE: 3.9158 | Val Acc: 0.4604 | LR: 0.000031
Epoch 34 | Train MSE: 3.9180 | Val Acc: 0.4683 | LR: 0.000031
Epoch 35 | Train MSE: 3.8912 | Val Acc: 0.4533 | LR: 0.000031
Epoch 36 | Train MSE: 3.8834 | Val Acc: 0.4596 | LR: 0.000016
Epoch 37 | Train MSE: 3.8979 | Val Acc: 0.4517 | LR: 0.000016
Epoch 38 | Train MSE: 3.8862 | Val Acc: 0.4617 | LR: 0.000016
Epoch 39 | Train MSE: 3.8878 | Val Acc: 0.4587 | LR: 0.000016
Epoch 40 | Train MSE: 3.8824 | Val Acc: 0.4592 | LR: 0.000016
Epoch 41 | Train MSE: 3.8980 | Val Acc: 0.4508 | LR: 0.000016
Epoch 42 | Train MSE: 3.8899 | Val Acc: 0.4542 | LR: 0.000008
Epoch 43 | Train MSE: 3.8920 | Val Acc: 0.4550 | LR: 0.000008
Epoch 44 | Train MSE: 3.8959 | Val Acc: 0.4583 | LR: 0.000008
Epoch 45 | Train MSE: 3.8821 | Val Acc: 0.4579 | LR: 0.000008
Epoch 46 | Train MSE: 3.8774 | Val Acc: 0.4437 | LR: 0.000008
Epoch 47 | Train MSE: 3.8672 | Val Acc: 0.4558 | LR: 0.000008
Epoch 48 | Train MSE: 3.8647 | Val Acc: 0.4567 | LR: 0.000004
Epoch 49 | Train MSE: 3.8766 | Val Acc: 0.4583 | LR: 0.000004
Epoch 50 | Train MSE: 3.8757 | Val Acc: 0.4554 | LR: 0.000004
